text,label
в протоколе есть что-то про сроки,rag
объясни условия кредитования,rag
а поддерживается ли вебхук?,rag
какие требования к кандидатам?,rag
а какие документы взять?,followup
"подскажи, есть информация про зарплату?",rag
а согласно акту,rag
а если говорить про обслуживание?,followup
а гарантия тоже,followup
а как получить компенсацию?,rag
какие расчёт зарплаты?,rag
а как тебя зовут!,chat
открой manual.pdf,rag
есть примеры?,followup
какой график работы офиса,rag
как оно,chat
расскажи про премии,rag
ого!,chat
а как у других компаний,followup
что в файле manual.pdf?,rag
а расскажи подробнее про доставку,followup
ты опенсорсный?,chat
кому принадлежит бот,chat
"скажи, что ты можешь",chat
объясни размер штрафов!,rag
а что насчёт условия возврата товара?,followup
а что насчёт условия гарантии?,followup
как сам!,chat
что написано в памяткае?,rag
можешь списком оформить пожалуйста,followup
что нужно для оформления,rag
какие есть ограничения по использованию?,rag
"слушай, последний пункт не понял",followup
объясни условия начисления премии,rag
а какие требования к партнёрам?,rag
а гарантии?,followup
можно ли уволиться на испытательном сроке?,rag
как удалить таблицу?,chat
в памяткае есть что-то про сроки,rag
посмотри в политика.docx!,rag
а если говорить про индексацию,followup
я вернулся,chat
какие условия начисления премии?,rag
какие требования к кандидатам,rag
наши сообщения кто-то читает?,chat
ты мальчик или девочка?,chat
умница,chat
мне нужна информация про отпуск,rag
а исправить ошибку,followup
"подскажи, как работает поиск?",chat
мне нужна информация про обслуживание пожалуйста,rag
какие условия аренды?,rag
объясни оформление командировки,rag
а как пользоваться ботом?,chat
каков порядок расторжения договора,rag
есть информация про гарантию,rag
а открой invoice.pdf,rag
как удалить файл,chat
а можно ли загрузить pdf?,chat
что написано в протоколе?,rag
ты всё знаешь?,chat
"добрый день, помощник",chat
есть кто пожалуйста,chat
"а здравствуйте, друг",chat
можно ли загрузить файл пожалуйста,chat
какие оформление командировки!,rag
"напомни, а если говорить про командировки?",followup
"слушай, есть ли возврат денег при отмене?",rag
ты бот,chat
расскажи про налоговые вычеты,rag
посмотри в инструкция.pdf!,rag
есть ли шифрование,rag
расскажи подробнее про возврат товара,followup
покажи соглашение пожалуйста,rag
расскажи про тарифы,rag
что написано в положениее?,rag
как обновить документ?,chat
а в контракте есть что-то про сроки?,rag
сколько документов можно загрузить?,chat
что ты знаешь про доставку?,rag
"а подскажи, как загрузить архив?",chat
"напомни, посмотри в rules.pdf",rag
привет :),chat
можно ли выгрузить данные?,rag
а что ты знаешь про расторжение?,rag
посмотри в отчёт.pdf,rag
а что ты знаешь про подписку?,rag
какие условия получения скидки?,rag
ну ну ничего себе!,chat
"слушай, есть информация про аренду?",rag
а кто,followup
открой guide.docx,rag
открой report.pdf,rag
кто имеет доступ к моим документам,rag
расскажи про неустойку,rag
объясни условия получения скидки,rag
а у меня плохое настроение,chat
что в файле rules.pdf?,rag
объясни расчёт зарплаты,rag
а это точно законно,followup
есть информация про приём на работу,rag
это только для России!,followup
какие сроки доставки?,rag
открой spec.pdf,rag
а в каких случаях можно отказаться?,rag
можно ли продлить договор,rag
"напомни, мне нужна информация про отпуск",rag
а посмотри в инструкция.pdf,rag
"скажи, посмотри в памятка.txt",rag
какая процентная ставка!,rag
как загрузить архив?,chat
а когда начисляются проценты?,rag
мне одиноко,chat
"хм, а почему именно так?",followup
невероятно,chat
кто тебя создал!,chat
а ну так себе,chat
принимаете криптовалюту,rag
а без этого можно?,followup
что думаешь о нейросетях пожалуйста,chat
а если говорить про оплату,followup
есть информация про штрафы?,rag
как связаться с поддержкой,rag
супер!,chat
что написано в прайс-листе,rag
как загрузить pdf!,chat
найди в contract.docx секцию про оплату,rag
что написано в памяткае,rag
мне нужна информация про перерасчёт,rag
что-нибудь ещё?,followup
ну обидно пожалуйста,chat
а сколько будет 15 умножить на 7?,chat
а к кому,followup
а ну как?,chat
тебе бывает скучно,chat
а каков размер госпошлины?,rag
а обратный процесс?,followup
ну и!,followup
у тебя есть выходные?,chat
а подскажи про зарплату,rag
а есть нюансы,followup
хеллоу,chat
подскажи про тарифы,rag
"подскажи, а про тарифы подробнее можно?",followup
"слушай, есть информация про индексацию?",rag
подскажи про расторжение!,rag
расскажи про кредитование,rag
а мои данные в безопасности?,chat
а по пунктам можно?,followup
что ты знаешь про обслуживание,rag
можно ли выгрузить данные,rag
доброе утро,chat
открой rules.pdf,rag
"подскажи, а если сумма больше миллиона?",followup
можешь петь?,chat
как удалить архив,chat
посмотри в памятка.txt,rag
а про штрафы подробнее можно?,followup
мне нужна информация про приём на работу,rag
а мне нужна информация про премии,rag
а мне нужна информация про аренду,rag
объясни порядок индексации пожалуйста,rag
сколько будет 2+2?,chat
что-нибудь ещё!,followup
а обслуживание тоже?,followup
процитируй пункт про штрафы,rag
покажи каталог!,rag
что написано в техническое заданиее!,rag
хаха,chat
что ещё?,followup
а что насчёт порядок получения компенсации?,followup
"напомни, как удалить несколько файлов?",chat
"слушай, какие стоимость тарифов?",rag
объясни порядок ремонта пожалуйста,rag
а какой сегодня праздник?,chat
это неправильно,chat
"а подскажи, а доставка тоже?",followup
замечательно,chat
есть ли API для интеграции?,rag
а объясни продолжительность отпуска,rag
я вернулся пожалуйста,chat
объясни размер налогового вычета,rag
какие условия гарантии пожалуйста,rag
"слушай, как удалить файл?",chat
какая ответственность за утечку данных?,rag
"слушай, что ты знаешь про скидки?",rag
что ты знаешь про налоговые вычеты?,rag
кто несёт ответственность за повреждения,rag
а ты работаешь 24/7?,chat
"а подскажи, помоги с домашкой",chat
а какие данные вы собираете?,rag
а про индексацию подробнее можно?,followup
как это сделать?,followup
в положениее есть что-то про сроки,rag
а можно ли продлить договор?,rag
какие начисление бонусов,rag
а есть ли автопродление?,rag
"а стой, давай сначала",followup
"напомни, как происходит процедура увольнения?",rag
а предыдущий пункт?,followup
а про обслуживание подробнее можно пожалуйста,followup
в чём причина!,followup
ты не сломаешься,chat
покажи инструкция,rag
а как удалить несколько файлов?,chat
"а подскажи, а если я не согласен?",followup
когда ближайшие выходные?,chat
всего хорошего,chat
какие размер штрафов,rag
а ты настоящий!,chat
"добрый день, бот",chat
а в реальности!,followup
открой terms.pdf,rag
кто тебя придумал,chat
а подскажи про персональные данные,rag
"а подскажи, найди в инструкцияе",rag
а найди в политикае,rag
ты лучше chatgpt?,chat
а что входит в базовый пакет?,rag
подскажи про увольнение,rag
есть ли скидки для постоянных клиентов?,rag
есть ли скрытые комиссии,rag
расскажи про ремонт,rag
а найди в регламенте,rag
а ты понимаешь русский?,chat
"а подскажи, первое что ты сказал — поясни",followup
что написано в техническое заданиее пожалуйста,rag
что ты знаешь про зарплату,rag
какие условия!,rag
а если не получится?,followup
хай!,chat
посмотри в guide.docx!,rag
"а подскажи, как обновить документ?",chat
что входит в стоимость обслуживания?,rag
если клиент жалуется что делать?,rag
а в техническое заданиее есть что-то про сроки?,rag
как тебя зовут?,chat
а доставка тоже пожалуйста,followup
